loc,cases,deaths,date,region,year
#adm2+name,#affected+infected,#affected+killed,#date,#region,#year
albay,0,0,03/01/2021,region v-bicol region,2021
albay,0,0,10/01/2021,region v-bicol region,2021
angeles city,19,0,03/01/2021,region iii-central luzon,2021
angeles city,11,1,10/01/2021,region iii-central luzon,2021
aurora,1,0,03/01/2021,region iii-central luzon,2021
aurora,1,0,10/01/2021,region iii-central luzon,2021
bataan,21,0,03/01/2021,region iii-central luzon,2021
bataan,8,0,10/01/2021,region iii-central luzon,2021
batanes,0,0,03/01/2021,region ii-cagayan valley,2021
batanes,0,0,10/01/2021,region ii-cagayan valley,2021
batangas,11,0,03/01/2021,region iv-a-calabarzon,2021
batangas,9,0,10/01/2021,region iv-a-calabarzon,2021
bulacan,74,1,03/01/2021,region iii-central luzon,2021
bulacan,37,0,10/01/2021,region iii-central luzon,2021
cagayan,3,0,03/01/2021,region ii-cagayan valley,2021
cagayan,1,0,10/01/2021,region ii-cagayan valley,2021
camarines norte,0,0,03/01/2021,region v-bicol region,2021
camarines norte,0,0,10/01/2021,region v-bicol region,2021
camarines sur,5,0,03/01/2021,region v-bicol region,2021
camarines sur,8,0,10/01/2021,region v-bicol region,2021
catanduanes,2,0,03/01/2021,region v-bicol region,2021
catanduanes,2,0,10/01/2021,region v-bicol region,2021
cavite,47,1,03/01/2021,region iv-a-calabarzon,2021
cavite,31,0,10/01/2021,region iv-a-calabarzon,2021
dagupan city,6,0,03/01/2021,region i-ilocos region,2021
dagupan city,0,0,10/01/2021,region i-ilocos region,2021
ilocos norte,2,0,03/01/2021,region i-ilocos region,2021
ilocos norte,1,0,10/01/2021,region i-ilocos region,2021
ilocos sur,57,0,03/01/2021,region i-ilocos region,2021
ilocos sur,15,0,10/01/2021,region i-ilocos region,2021
isabela,2,0,03/01/2021,region ii-cagayan valley,2021
isabela,1,0,10/01/2021,region ii-cagayan valley,2021
la union,2,0,03/01/2021,region i-ilocos region,2021
la union,0,0,10/01/2021,region i-ilocos region,2021
laguna,15,0,03/01/2021,region iv-a-calabarzon,2021
laguna,21,0,10/01/2021,region iv-a-calabarzon,2021
lucena city,0,0,03/01/2021,region iv-a-calabarzon,2021
lucena city,0,0,10/01/2021,region iv-a-calabarzon,2021
marinduque,2,0,03/01/2021,region ivb-mimaropa,2021
marinduque,0,0,10/01/2021,region ivb-mimaropa,2021
masbate,1,0,03/01/2021,region v-bicol region,2021
masbate,2,0,10/01/2021,region v-bicol region,2021
naga city,0,0,03/01/2021,region v-bicol region,2021
naga city,3,0,10/01/2021,region v-bicol region,2021
nueva ecija,150,0,03/01/2021,region iii-central luzon,2021
nueva ecija,92,0,10/01/2021,region iii-central luzon,2021
nueva viscaya,0,0,03/01/2021,region ii-cagayan valley,2021
